Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Filename,Channel_Number
11,8,13,5,1.966,1.862,2.074,0.212,6.409010975456992e-14,6.723475284264572,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,17,7,2.042,1.88,2.414,0.534,5.99485114735255e-14,5.858588992469152,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,11,14,3,2.284,1.854,2.444,0.59,4.554243061600546e-14,4.450725733449619,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,17,9,0.812,0.706,1.104,0.398,3.602899392371438e-14,4.138168878034674,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,15,6,2.122,2.006,2.294,0.288,4.1497662031024667e-14,4.055442579179501,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.286,2.14,2.434,0.294,7.442633812373876e-14,8.556944077673835,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,8,14,6,1.254,1.162,1.344,0.182,5.256970025311084e-14,5.137479808423436,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,15,6,1.646,1.552,1.724,0.172,5.486655966829155e-14,5.361945019590013,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,0.564,0.442,0.722,0.28,4.3640123155226603e-14,5.017391729809779,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,4,10,6,2.692,2.56,2.82,0.26,4.91912228283702e-14,5.655612696609335,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,14,4,1.364,1.228,1.5,0.272,6.899679679151489e-14,6.742850894253039,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,9,3,0.228,0.028,0.408,0.38,4.646075579578387e-14,5.341685472822935,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,11,5,1.33,1.198,1.484,0.286,4.911837745768732e-14,5.647237519501811,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,1.844,1.686,1.972,0.286,3.619438344409563e-14,4.161340230686762,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,3,10,7,2.93,2.75,3.25,0.364,1.3550763831212104e-13,15.57958260967608,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,3,10,7,3.164,2.768,3.25,0.796,1.5603243104106183e-13,17.939358839636462,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,0.608,0.486,0.882,0.396,6.119222116921243e-14,7.028332396858212,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,12,5,3.108,2.984,3.236,0.252,6.848345613792628e-14,7.99350139788348,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.482,2.278,2.642,0.364,3.6307162464292554e-14,4.174306658879904,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,6,11,5,0.116,0.0,0.55,0.872,7.036286746869043e-14,8.212869372966464,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,11,3,0.162,0.006,0.52,0.514,7.030708440820136e-14,8.075234884976252,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,12,4,0.288,0.002,0.524,0.522,6.680750706335671e-14,7.673285219510312,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.358,2.1,2.538,0.438,7.278136036978053e-14,8.367817714554427,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,0.792,0.462,0.936,0.474,1.3165553006667601e-13,15.367049547083974,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,17,10,2.846,2.71,3.034,0.324,3.663640174577547e-14,4.276260940722212,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,0.092,0.0,0.232,0.284,8.101134842274295e-14,9.31403580487669,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,7,10,3,1.554,1.282,1.91,0.628,5.673184142722245e-14,6.522572610103526,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,16,10,2.73,2.6,2.912,0.312,5.629035694854382e-14,6.471814261776173,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,1.694,1.522,1.85,0.328,5.895568348847063e-14,6.881404136922347,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,15,6,0.64,0.53,1.004,0.474,8.649666160676071e-14,8.453060419998717,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,9,14,5,0.892,0.528,1.008,0.48,8.387184165979771e-14,8.196544605502105,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,6,15,9,2.764,2.684,2.858,0.174,4.7690912031691953e-14,4.660690405850603,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,0.81,0.626,1.006,0.38,1.0047100242573685e-13,11.55135091767531,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,5,13,8,1.72,1.572,1.844,0.272,5.071094423827237e-14,5.830338088802569,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,5,12,7,1.388,1.292,1.804,0.512,4.294093972144145e-14,5.012136960472134,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,5,12,7,1.356,1.004,1.458,0.454,4.125473076494712e-14,4.7383794086694175,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,2.432,2.302,2.556,0.254,4.709764047680412e-14,5.4973138947620175,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,13,5,3.02,2.884,3.158,0.274,7.282890023696533e-14,8.364882156305066,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,14,5,1.478,1.1,1.59,0.49,3.830468001425726e-14,4.018413610676614,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,14,5,3.072,2.954,3.184,0.23,7.703467095447157e-14,8.081445143053635,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
12,10,16,6,1.634,1.424,1.738,0.314,7.650271267314948e-14,7.476381637246778,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,7,10,3,0.308,0.006,0.5,0.494,5.839827160469282e-14,6.714165401008469,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,13,6,0.126,0.0,0.312,0.376,8.378135896120935e-14,9.779097722874996,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,7,11,4,1.602,1.378,1.758,0.38,7.52669645958816e-14,8.78528363842947,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
10,8,15,7,0.088,0.0,0.202,0.232,8.991739756581045e-14,10.327609396714093,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,10,4,2.042,1.902,2.278,0.376,5.30426634868354e-14,6.098420487020487,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,13,4,0.242,0.044,0.396,0.352,8.931069207419843e-14,9.369280737401454,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
11,9,13,4,2.764,2.63,2.928,0.298,3.9729269134851194e-14,4.167862406742415,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
8,6,11,5,0.134,0.0,0.306,0.348,6.815740344503566e-14,7.836192192997369,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
9,6,13,7,0.612,0.468,0.724,0.256,6.18132379203278e-14,7.2149425801278815,D0179_chirp-ST_postcomp_MN_EEG_Constr_2018.set,0
